"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B","GeneName","ENTREZID"
"220686_s_at","PIWIL2",-1.77953381,7.466946345,-8.82744348658494,2.12247047681337e-08,0.000474204962988297,1.77953381,9.16972352959681,"piwi like RNA-mediated gene silencing 2","55124"
"235416_at","CEP192P1",-3.704878,5.6211984,-8.7354324682922,2.51766536861534e-08,0.000474204962988297,3.704878,9.01976957340876,"CEP192 pseudogene 1","643201"
"239303_at","PIWIL2",-1.73963676,7.84036867,-8.66626574052676,2.86452800105937e-08,0.000474204962988297,1.73963676,8.90619096438416,"piwi like RNA-mediated gene silencing 2","55124"
"234367_x_at","TMPRSS6",-3.67893448,6.03665734,-8.56422711026105,3.46926356095691e-08,0.000474204962988297,3.67893448,8.73728733175471,"transmembrane serine protease 6","164656"
"207601_at","SULT1B1",-2.75485391,8.358543445,-7.92898552615327,1.17869308044475e-07,0.00104540605596868,2.75485391,7.64923476599193,"sulfotransferase family 1B member 1","27284"
"205509_at","CPB1",-3.56717664,5.29817617,-7.8716543872333,1.31971630988463e-07,0.00104540605596868,3.56717664,7.5479083013432,"carboxypeptidase B1","1360"
"1554628_at","ZNF57",-1.40231645,9.983642525,-7.86452845165467,1.33842567750906e-07,0.00104540605596868,1.40231645,7.5352775700317,"zinc finger protein 57","126295"
"1570445_a_at","CEP192P1",-4.520567832,5.179511484,-7.52960693764348,2.61381479408977e-07,0.00146187566183372,4.520567832,6.93252778405169,"CEP192 pseudogene 1","643201"
"210505_at","ADH7",-4.26821116,6.93233949,-7.5183919649999,2.67375521140141e-07,0.00146187566183372,4.26821116,6.91203585943958,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","131"
"209366_x_at","CYB5A",-1.31956915,12.715970275,-7.29045271320272,4.25449291623578e-07,0.0016206658530929,1.31956915,6.49121620663356,"cytochrome b5 type A","1528"
"228825_at","PTGR1",-1.5798036,9.44149495,-7.25883482370654,4.54014294206369e-07,0.0016206658530929,1.5798036,6.43219249921285,"prostaglandin reductase 1","22949"
"219543_at","PBLD",-2.66117435,11.848575425,-7.22668899380616,4.85090037894263e-07,0.0016206658530929,2.66117435,6.37202099776543,"phenazine biosynthesis like protein domain containing","64081"
"219564_at","KCNJ16",-6.345145463,7.3104603685,-7.17334243628767,5.4159084838802e-07,0.0016206658530929,6.345145463,6.27180478569539,"potassium inwardly rectifying channel subfamily J member 16","3773"
"219313_at","GRAMD1C",-1.168563,9.597474,-7.14606929108469,5.73057225433382e-07,0.0016206658530929,1.168563,6.22039616551039,"GRAM domain containing 1C","54762"
"215726_s_at","CYB5A",-1.356913,12.5120636,-7.08805706379565,6.46416523338577e-07,0.0016206658530929,1.356913,6.11065582309112,"cytochrome b5 type A","1528"
"1555175_a_at","PBLD",-2.1783733,8.03295955,-7.02515973355724,7.36976361986016e-07,0.00169292130303112,2.1783733,5.99107631163545,"phenazine biosynthesis like protein domain containing","64081"
"204745_x_at","MT1G",-2.62642775,12.404590025,-7.02118544198416,7.43120462235883e-07,0.00169292130303112,2.62642775,5.98349958316774,"metallothionein 1G","4495"
"1553797_a_at","SILC1",-3.30045103,6.700904805,-6.91567610812517,9.27080117842194e-07,0.00182754133761653,3.30045103,5.78144895168935,"sciatic injury induced lincRNA upregulator of SOX11","150622"
"207843_x_at","CYB5A",-1.18131145,12.529924675,-6.8901514586612,9.78255534050996e-07,0.00182754133761653,1.18131145,5.73230816273754,"cytochrome b5 type A","1528"
"223862_at","GHRL",-4.66587028,8.75423259,-6.88050428408952,9.98347463470152e-07,0.00182754133761653,4.66587028,5.713708743751,"ghrelin and obestatin prepropeptide","51738"
"1554530_at","VSTM2A",-3.84882609,5.345773935,-6.86286450098887,1.03619170491289e-06,0.00182754133761653,3.84882609,5.67966244531893,"V-set and transmembrane domain containing 2A","222008"
"236118_at","GATA6-AS1",-3.51634653,10.153013535,-6.83300974922748,1.10364282868517e-06,0.00182853550479885,3.51634653,5.62193016369167,"GATA6 antisense RNA 1 (head to head)","100128893"
"206461_x_at","MT1H",-2.22234495,12.773008525,-6.79322460709598,1.20062333264925e-06,0.00193070825625288,2.22234495,5.54478021699661,"metallothionein 1H","4496"
"209213_at","CBR1",-1.36327305,10.544168225,-6.74240571280465,1.33740091782677e-06,0.0020892112909194,1.36327305,5.44587858548957,"carbonyl reductase 1","873"
"217546_at","MT1M",-4.92014241,9.415256145,-6.71098022468511,1.42991372486019e-06,0.00217168146963141,4.92014241,5.38452078025391,"metallothionein 1M","4499"
"230204_at","HAPLN1",-2.32913844,6.86544605,-6.64521803662311,1.64543101386656e-06,0.00222314773514785,2.32913844,5.25563163965601,"hyaluronan and proteoglycan link protein 1","1404"
"236513_at","PRELID2",-1.58520415,8.342514975,-6.61956507424041,1.73832082699263e-06,0.00222314773514785,1.58520415,5.20517482587709,"PRELI domain containing 2","153768"
"223426_s_at","EPB41L4B",-1.41093018,8.21612811,-6.6101551294036,1.77373189703868e-06,0.00222314773514785,1.41093018,5.18664132730655,"erythrocyte membrane protein band 4.1 like 4B","54566"
"205160_at","PEX11A",-1.12627018,8.85778736,-6.60646975880221,1.78780191966087e-06,0.00222314773514785,1.12627018,5.17937908711585,"peroxisomal biogenesis factor 11 alpha","8800"
"209309_at","AZGP1",-2.91414968,8.36603586,-6.5699488127347,1.93359430000926e-06,0.00222314773514785,2.91414968,5.10730116258367,"alpha-2-glycoprotein 1, zinc-binding","563"
"223611_s_at","LNX1",-1.72255885,10.297365675,-6.56744503822119,1.94402665354514e-06,0.00222314773514785,1.72255885,5.10235230982109,"ligand of numb-protein X 1","84708"
"1556554_at","TRIM50",-5.44443522,6.26352941,-6.54039525145157,2.06049349967421e-06,0.00222314773514785,5.44443522,5.04882655394297,"tripartite motif containing 50","135892"
"226228_at","AQP4",-7.841365174,6.759468413,-6.48466555878394,2.32360273569656e-06,0.00235342385928185,7.841365174,4.93820252312555,"aquaporin 4","361"
"1564333_a_at","PSAPL1",-4.93409078,8.29297507,-6.48451286007442,2.32436924373516e-06,0.00235342385928185,4.93409078,4.93789877519169,"prosaposin like 1","768239"
"236360_at","PRDM16-DT",-2.98931561,7.508029925,-6.43511712216875,2.58648425744307e-06,0.00244314939199563,2.98931561,4.83945833798155,"PRDM16 divergent transcript","440556"
"216336_x_at","MT1E",-2.3253429,12.41274425,-6.43354550377235,2.59530573795102e-06,0.00244314939199563,2.3253429,4.83632030962534,"metallothionein 1E","4493"
"216661_x_at","CYP2C9",-2.89747303,8.637069585,-6.41632737052653,2.69399967566622e-06,0.00244314939199563,2.89747303,4.80191710692544,"cytochrome P450 family 2 subfamily C member 9","1559"
"205660_at","OASL",-2.1176117,9.40896825,-6.41598973852237,2.69597305871744e-06,0.00244314939199563,2.1176117,4.80124205199072,"2'-5'-oligoadenylate synthetase like","8638"
"212859_x_at","MT1E",-2.19386305,13.274602775,-6.4038469099116,2.76794108461256e-06,0.00244314939199563,2.19386305,4.77695269884913,"metallothionein 1E","4493"
"56256_at","SIDT2",-1.6002613,12.54255515,-6.40342669981433,2.77046661735216e-06,0.00244314939199563,1.6002613,4.77611176032306,"SID1 transmembrane family member 2","51092"
"217165_x_at","MT1F",-2.53064105,12.241514775,-6.37171907212792,2.96802774296405e-06,0.00254563665512646,2.53064105,4.71258221687465,"metallothionein 1F","4494"
"213353_at","ABCA5",-1.03144625,10.709097525,-6.36277018151462,3.02636273586136e-06,0.00254563665512646,1.03144625,4.69462538571335,"ATP binding cassette subfamily A member 5","23461"
"213629_x_at","MT1F",-2.7253588,11.7513797,-6.3158656002586,3.35195905027746e-06,0.00273534867274507,2.7253588,4.60031465745992,"metallothionein 1F","4494"
"208072_s_at","DGKD",-1.55979165,10.337492425,-6.30570091639677,3.42713905322271e-06,0.00274523366452663,1.55979165,4.57983421743091,"diacylglycerol kinase delta","8527"
"1554183_s_at","TRIM74",-2.78262472,7.46375809,-6.25773194449541,3.80599229812975e-06,0.00289017540139228,2.78262472,4.48298080044735,"tripartite motif containing 74","378108"
"1569428_at","PYM1",-2.75240491,6.075837075,-6.2309317958096,4.03611377101379e-06,0.00301395161337859,2.75240491,4.42872420802952,"PYM homolog 1, exon junction complex associated factor","84305"
"227742_at","CLIC6",-4.21773706,10.80355552,-6.20819530234666,4.24251675581136e-06,0.00305210004768403,4.21773706,4.38261351383953,"chloride intracellular channel 6","54102"
"1554182_at","TRIM74",-3.17251504,7.95010658,-6.18386121477459,4.47544887239456e-06,0.00310879346416977,3.17251504,4.33318090198229,"tripartite motif containing 74","378108"
"209605_at","TST",-1.48343355,12.241632075,-6.18028196026374,4.51080080206152e-06,0.00310879346416977,1.48343355,4.32590283107677,"thiosulfate sulfurtransferase","7263"
"238783_at","TMEM161B",-1.3752484,8.8767713,-6.17153415024941,4.59841241225484e-06,0.00310879346416977,1.3752484,4.30810732908047,"transmembrane protein 161B","153396"
"227948_at","FGD4",-1.8295716,10.9686182,-6.17088310146806,4.60500220795365e-06,0.00310879346416977,1.8295716,4.3067824782362,"FYVE, RhoGEF and PH domain containing 4","121512"
"205913_at","PLIN1",-2.61582916,5.00799273,-6.16524473084659,4.66247945243569e-06,0.00310879346416977,2.61582916,4.29530616619644,"perilipin 1","5346"
"226594_at","ENTPD5",-1.96555845,10.658873025,-6.13976285233669,4.93156078992316e-06,0.00317215395516528,1.96555845,4.24338430336726,"ectonucleoside triphosphate diphosphohydrolase 5 (inactive)","957"
"237724_at","MARCHF10",-1.9834143,2.5919839,-6.11979154359634,5.1535500433303e-06,0.0031995806185581,1.9834143,4.20262669883153,"membrane associated ring-CH-type finger 10","162333"
"242269_at","PRDM16-DT",-2.74006436,7.64773061,-6.11945198879946,5.15741165838363e-06,0.0031995806185581,2.74006436,4.20193324745885,"PRDM16 divergent transcript","440556"
"212448_at","NEDD4L",-1.75074805,9.575657975,-6.11235740917143,5.23877737104164e-06,0.0031995806185581,1.75074805,4.18744073053636,"NEDD4 like E3 ubiquitin protein ligase","23327"
"235591_at","SSTR1",-3.58786005,9.666606575,-6.10994018805259,5.2667993721121e-06,0.0031995806185581,3.58786005,4.18250131665799,"somatostatin receptor 1","6751"
"229499_at","CAPN13",-3.08749291,7.861758145,-6.09777867392804,5.4101326477429e-06,0.0032253090028953,3.08749291,4.15763773265942,"calpain 13","92291"
"228568_at","MYZAP",-1.50975615,9.807694075,-6.07767646954728,5.65587999640327e-06,0.00327071134731215,1.50975615,4.11649449126423,"myocardial zonula adherens protein","100820829"
"238205_at","DCAF12L1",-3.32918927,5.448802315,-6.05793474966218,5.90836394007803e-06,0.00328450013323489,3.32918927,4.07603429184172,"DDB1 and CUL4 associated factor 12 like 1","139170"
"238681_at","GDPD1",-1.61112267,9.248658415,-6.05439887352054,5.95479110530834e-06,0.00328450013323489,1.61112267,4.06878188377926,"glycerophosphodiester phosphodiesterase domain containing 1","284161"
"223753_s_at","CFC1",-2.75134207,5.984781995,-6.05266915389693,5.97763886632056e-06,0.00328450013323489,2.75134207,4.06523343848863,"cryptic, EGF-CFC family member 1","55997"
"241436_at","SCNN1G",-5.306967048,5.789625116,-6.00544534102466,6.63737447729705e-06,0.0033330005218539,5.306967048,3.9681963647071,"sodium channel epithelial 1 subunit gamma","6340"
"225354_s_at","SH3BGRL2",-1.7404764,11.1327525,-5.98837175528649,6.89387169010024e-06,0.0033330005218539,1.7404764,3.93303766726622,"SH3 domain binding glutamate rich protein like 2","83699"
